song_id,PC1_difference,PC2_difference,PC3_difference,PC4_difference,PC5_difference,PC6_difference
IWantToHoldYourHand_TheBeatles,2.4147149304334934,-2.0765728373668604,-0.3730299575611826,0.3174107939672466,-0.9347237265391157,0.6436491612807085
IWillAlwaysLoveYou_WhitneyHouston,0.3428530907400511,-1.7072168866804343,1.2731939032987423,1.1481030593871067,-0.5574251122495575,-0.5317616793812816
JoyToTheWorld_ThreeDogNight,-5.546031989626426,-1.7072604442198196,0.4472940783143408,0.15099763561115442,-1.081318501335884,0.754601206219918
Kiss_Prince,5.840906155385582,-0.6616134014700052,-2.308663341364145,0.6742279667518953,1.3813298885711622,2.8746109719328596
LeFreak_Chic,-1.6573234510161974,1.71786799026006,-0.6533566052224755,1.0870077488873384,1.6726805474054505,1.6485603676108627
LetsGetItOn_MarvinGaye,0.2901537171339563,-2.2541606630171866,0.5600189369891179,1.4111842275669038,-0.2951117898474986,1.4545150259970256
Levitating_DuaLipa,0.5407817155397425,0.3137494573857038,-0.3894662513721794,-0.16443854883440845,0.3953866219908443,-0.14061448511296681
LikeAPrayer_Madonna,0.2802223645430386,-1.0603752988871658,0.1769545109693571,2.145223067455544,1.3306128830866024,-0.9174079576860461
LikeARollingStone_BobDylan,-1.6146566638178417,0.9160939487240788,0.7382748063115241,4.59783875363564,-0.3857079239085965,-1.9719541705046395
LivinOnAPrayer_BonJovi,5.092358842818822,-5.0416366272552295,0.7970551669582984,1.836363879699129,-0.8891873729515476,0.7187467594719256
MackTheKnife_BobbyDarin,-4.391497492433717,3.160832175393053,0.3735474760074151,-2.322452625185222,2.2591813478950007,-0.5870098549911063
Mood_24kGoldnianndior,2.493788865136904,-0.13308483737359755,-1.4752168322784973,3.3345101071161247,-1.537552372688965,-0.025871599261123812
MyGirl_TheTemptations,2.745918664807098,-1.3276799582151322,0.685746890032022,-0.301841876437737,-1.9469037474997664,-1.9603975494444892
