song_id,rms,spectral_bandwidth,spectral_centroid,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfccs_offset,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,tempo,key,treble,tbb,genre,mean_valence,sd_valence,mean_arousal,sd_arousal
HowDoILive_LeAnnRimes_Original5S,0.05391,3668.65,3045.01,20.44,4.7e-4,6820.21,0.05937,-242.38771,138.72812,-27.988491,57.572346,-5.352796,34.75655,-15.104301,19.182837,-0.3291996,4.0232744,0.115125224,7.6460867,-1.2321507,130,D,1,0,10,-0.10507347246938775,0.17933216608904703,-0.1685607933877551,0.12346852673529483
IllMakeLoveToYou_BoyzIIMen_Cover5S,0.04326,2500.68,1819.71,21.16,9e-5,3790.91,0.03435,-418.96298,210.68422,-33.99715,18.335573,3.2352395,-11.520944,-1.9333696,-2.8562527,1.9802979,-14.88368,-7.7836843,1.0214639,-6.092486,135,C,0,1,10,0.11459632079591837,0.15862973060280655,-0.18020984342857144,0.0860414310129605
IllMakeLoveToYou_BoyzIIMen_Original5S,0.05137,3779.77,3192.75,19.61,5.2e-4,7151.81,0.05815,-348.91458,194.67247,-11.771073,50.223717,13.176114,-9.767889,-0.4774875,-12.175024,-6.3081975,-2.4268246,-12.476693,-1.2350181,0.62890166,144,D,0,1,12,0.11371926271428572,0.15939523223236257,-0.11360876467346938,0.14430966547730684
Irreplaceable_Beyonce_Cover5S,0.07169,3505.36,2633.93,20.14,3.5e-4,6134.15,0.04208,-356.5498,166.75922,15.38985,30.94257,10.361311,28.733011,-10.774938,12.0952425,1.6419209,-5.158687,0.711519,7.0461807,2.5594506,178,E,0,1,2,-0.0012334882857142834,0.18315894797161994,-0.1336250769387755,0.134926389088634
Irreplaceable_Beyonce_Original5S,0.0647,4285.02,4117.25,19.96,9.4e-4,9033.3,0.08162,-203.9207,109.12351,-54.726868,53.33296,-36.377914,27.790918,-23.139723,22.251871,-2.7934659,13.325873,5.213348,8.260255,1.8958288,178,Bb,1,0,12,0.0020874305102040803,0.1845491067709855,0.07205165906122449,0.16172885904263457
ItsAllInTheGame_TommyEdwards_Cover5S,0.00772,3036.51,2540.62,19.76,0.00125,5237.37,0.06077,-327.0312,157.72325,1.4287379,25.121439,-9.184717,10.735604,-24.523428,12.394116,-12.86882,-17.708998,8.397649,-17.053432,-21.64816,71,F,0,1,5,0.01667366410204082,0.17829241072301696,-0.17637375618367346,0.09884245547045072
ItsAllInTheGame_TommyEdwards_Original5S,0.03497,3294.63,2788.07,21.68,3.4e-4,6085.54,0.04752,-219.23605,170.55571,-68.88505,40.855846,-23.98212,14.786609,-10.40956,15.584086,2.5206704,8.186722,2.5088508,-2.7047195,1.9336115,72,Eb,0,1,4,0.09348663142857143,0.16125359095259886,-0.14860970726530612,0.11537680958535552
IWalkTheLine_JohnnyCash_Cover5S,0.0177,1602.42,1267.43,17.31,4e-5,2390.88,0.03077,-285.5354,145.36766,-29.889082,50.806763,2.6535985,15.89307,3.2274148,14.687673,9.335869,2.8628156,-2.9343226,1.156133,-12.9880295,91,E,1,1,7,0.04782082155102041,0.16180489770477782,-0.12778935373469388,0.11977166001913468
IWalkTheLine_JohnnyCash_Original5S,0.04256,2047.89,1458.14,19.58,5e-5,2868.32,0.02838,-277.43307,164.45927,-44.500668,33.838585,-13.026173,18.571905,-4.9327865,11.482536,11.755413,1.1764586,-2.347244,5.909781,-3.1780262,107,F,0,1,6,0.1044549997755102,0.15459206904287184,-0.12667006514285714,0.11910511998474105
IWannaDanceWithSomebody_WhitneyHouston_Cover5S,0.05676,2495.69,1588.36,20.45,2.9e-4,2793.8,0.02472,-335.05756,166.13416,-8.202528,32.553543,-21.94774,7.1746984,5.004465,-3.9238107,-19.023666,-0.30045977,-3.8791864,-24.45723,8.2504015,91,D,1,0,1,0.03776169042857143,0.2028772860596844,-0.15958732079591836,0.10070366063247478
