welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Country,survey.question1.Latin,survey.question1.Alternative rock,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.A cappella,survey.question1.Ambient,survey.question1.Disco,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Reggae,survey.question1.Metal,survey.question1.Jazz,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.1229,232.5624,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.5935,238.8803,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.8811,240.8508,3.3,1.9327,0.0,9.0,9.0,14.0,1.0,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.8581,246.8073,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.8611,252.7783,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7799,256.0283,5.526666667,3.2127,0.0,10.0,10.0,19.0,1.0,song_indices/Irreplaceable_Beyonce.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0324,263.8879,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.9218,270.424,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.4245,274.0633,5.01,3.6037,0.0,11.0,11.0,1.0,1.0,song_indices/Dreams_FleetwoodMac.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.0653,280.5274,0.0,0.0,0.0,1.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.5596,286.647,0.0,1.0,1.0,0.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.6476,291.9875,5.626666667,5.3079,0.0,12.0,12.0,4.0,1.0,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.989,298.2236,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
