welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Jazz,survey.question1.Classical,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Latin,survey.question1.Reggae,survey.question1.Pop,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.Electronic (EDM),survey.question1.Classic rock,survey.question1.Country,survey.question1.Ambient,survey.question1.A cappella,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.1897,202.5389,0.0,0.0,0.0,0.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5439,210.0563,0.0,1.0,1.0,1.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0564,211.2235,4.966666667,1.162,0.0,9.0,9.0,3.0,1.0,song_indices/EndlessLove_DianaRossLionelRichie.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.224,217.3056,0.0,0.0,0.0,0.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.3104,223.2563,0.0,1.0,1.0,1.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.2564,224.3055,4.0,1.0416,0.0,10.0,10.0,6.0,1.0,song_indices/IllMakeLoveToYou_BoyzIIMen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.306,229.9064,0.0,0.0,0.0,0.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.9111,236.7555,0.0,1.0,1.0,1.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.7555,237.7899,2.061111111,1.0289,0.0,11.0,11.0,13.0,1.0,song_indices/IWannaDanceWithSomebody_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.7901,244.0055,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
