welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.Country,survey.question1.Reggae,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Hip hop,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.Latin,survey.question1.Metal,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.285,196.497,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.505,204.037,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.04,206.314,1.922222222,2.264,0.0,9.0,9.0,3.0,1.0,song_indices/TikTok_Kesha.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.319,212.813,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.817,220.653,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.654,223.727,3.005555556,3.066,0.0,10.0,10.0,1.0,1.0,song_indices/Dreams_FleetwoodMac.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.729,229.899,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.907,235.919,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.922,237.061,4.988888889,1.133,0.0,11.0,11.0,5.0,1.0,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.067,243.259,0.0,0.0,0.0,0.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
