welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Country,survey.question1.A cappella,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Disco,survey.question1.Ambient,survey.question1.Reggae,survey.question1.Hip hop,survey.question1.Metal,survey.question1.Classic rock,survey.question1.Pop,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.R&B,survey.question1.Alternative rock,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0065,406.0127,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0188,411.5128,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.5128,414.0268,3.338929696,2.5021,0.0,9.0,9.0,11.0,1.0,song_indices/LeFreak_Chic.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0275,421.2424,0.0,0.0,0.0,0.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.2641,428.0478,0.0,1.0,1.0,1.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0479,428.6519,4.056663169,0.5867,0.0,10.0,10.0,7.0,1.0,song_indices/SomebodyThatIUsedtoKnow_Gotye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.6524,434.6451,0.0,0.0,0.0,1.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.6517,440.7908,0.0,1.0,1.0,0.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.7909,442.5895,4.925498426,1.7917,0.0,11.0,11.0,5.0,1.0,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.5902,446.5548,0.0,0.0,0.0,1.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.5611,452.6381,0.0,1.0,1.0,0.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.6382,454.1589,3.162644281,1.5129,0.0,12.0,12.0,16.0,1.0,song_indices/UnbreakMyHeart_ToniBraxton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.1596,459.2702,0.0,0.0,0.0,1.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.2764,465.3606,0.0,1.0,1.0,0.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.3607,467.68,3.842602308,2.3098,0.0,13.0,13.0,8.0,1.0,song_indices/JoyToTheWorld_ThreeDogNight.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
