welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Electronic (EDM),survey.question1.R&B,survey.question1.Latin,survey.question1.Country,survey.question1.Alternative rock,survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Pop,survey.question1.Metal,survey.question1.Jazz,survey.question1.Disco,survey.question1.Ambient,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.A cappella,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5131,210.2606,0.0,0.0,0.0,0.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.2736,217.1285,0.0,1.0,1.0,1.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.129,218.7121,2.073993471,1.5521,0.0,10.0,10.0,8.0,1.0,song_indices/GodOnlyKnows_TheBeachBoys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.7178,224.7441,0.0,0.0,0.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7617,230.6488,0.0,1.0,1.0,1.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.649,231.863,5.312295974,1.1738,0.0,11.0,11.0,2.0,1.0,song_indices/StayinAlive_BeeGees.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.8688,238.1613,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.1771,246.4612,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4615,247.7122,2.974972797,1.2146,0.0,12.0,12.0,5.0,1.0,song_indices/Mood_24kGoldnianndior.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.7143,253.9792,0.0,0.0,0.0,1.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
