welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Disco,survey.question1.Country,survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Folk/indie,survey.question1.Electronic (EDM),survey.question1.Pop,survey.question1.A cappella,survey.question1.Classical,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Ambient,survey.question1.R&B,survey.question1.Metal,survey.question1.Alternative rock,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.3271,283.5626,0.0,0.0,0.0,0.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.5935,290.6014,0.0,1.0,1.0,1.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.602,292.2992,6.9453125,1.6567,0.0,9.0,9.0,15.0,1.0,song_indices/UptownFunk_MarkRonson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.302,298.5892,0.0,0.0,0.0,0.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.6237,307.5425,0.0,1.0,1.0,1.0,1.0,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.5435,308.812,2.046875,1.2339,0.0,10.0,10.0,22.0,1.0,song_indices/HeyYa_Outkast.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.8141,315.114,0.0,0.0,0.0,1.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.1472,321.6203,0.0,1.0,1.0,0.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.6208,324.8386,6.046875,3.1849,0.0,11.0,11.0,21.0,1.0,song_indices/ShapeofYou_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.842,330.8257,0.0,0.0,0.0,0.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
