welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.listen_time,survey.medium,survey.music_making,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Reggae,survey.question1.R&B,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Metal,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Pop,survey.question1.A cappella,survey.genres_ranked.text3,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.7909,346.988,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.9895,353.9714,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.972,355.6702,3.033333249,1.6941,0.0,9.0,9.0,2.0,1.0,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.6726,361.9712,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.9728,368.7134,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.7135,370.2706,1.038888931,1.5502,0.0,10.0,10.0,20.0,1.0,song_indices/LetsGetItOn_MarvinGaye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.2735,376.3376,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.3393,382.4538,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.4542,384.4572,2.338888804,2.0017,0.0,11.0,11.0,13.0,1.0,song_indices/TossinAndTurnin_BobbyLewis.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.4579,391.2534,0.0,0.0,0.0,1.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
