welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Alternative rock,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.R&B,survey.question1.Country,survey.question1.Latin,survey.question1.Pop,survey.question1.Classic rock,survey.question1.Metal,survey.question1.Folk/indie,survey.question1.Reggae,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Disco,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.6708,259.3695,0.0,0.0,0.0,1.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.3924,265.7145,0.0,1.0,1.0,0.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.7148,267.2206,3.725,1.4841,0.0,9.0,9.0,1.0,1.0,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.2233,274.6129,0.0,0.0,0.0,0.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.6317,281.1371,0.0,1.0,1.0,1.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.1375,282.1206,6.641666667,0.9567,0.0,10.0,10.0,20.0,1.0,song_indices/OldTownRoad_LilNasX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.1235,290.2567,0.0,0.0,0.0,1.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.2757,296.3167,0.0,1.0,1.0,0.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.3168,297.7551,3.458333333,1.4172,0.0,11.0,11.0,9.0,1.0,song_indices/AnotherOneBitesTheDust_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.7568,304.2056,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
