welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Reggae,survey.question1.Ambient,survey.question1.Hip hop,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Disco,survey.question1.Classical,survey.question1.Latin,survey.question1.R&B,survey.question1.Country,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Metal,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.6252,222.8419,0,0,0,0,1,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.8516,230.3744,0,1,1,1,1,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.3745,232.6575,6.917066956,2.2707,0,9,9,3,1,song_indices/TikTok_Kesha.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.6582,238.6918,0,0,0,0,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.7013,244.1749,0,1,1,1,1,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.1752,247.8413,6.981382751,3.6519,0,10,10,17,1,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.8419,254.0417,0,0,0,0,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.052,259.9413,0,1,1,1,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.9414,262.107,6.278216553,2.1541,0,11,11,12,1,song_indices/SaveYourTears_TheWeekndArianaGrande.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.1076,268.5739,0,0,0,1,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.5841,274.6574,0,1,1,0,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.6575,277.2238,6.102490888,2.5552,0,12,12,6,1,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
