welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Reggae,survey.question1.A cappella,survey.question1.Pop,survey.question1.Folk/indie,survey.question1.Country,survey.question1.Hip hop,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Disco,survey.question1.Ambient,survey.question1.Metal,survey.question1.Classical,survey.question1.Latin,survey.question1.R&B,survey.question1.Jazz,survey.question1.Alternative rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.1022,421.1346,0,0,0,0,1,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.1351,426.9679,0,1,1,1,1,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.9681,428.4542,5.994444953,1.4854,0,9,9,2,1,song_indices/StayinAlive_BeeGees.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.4548,437.0517,0,0,0,1,1,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.0521,443.1544,0,1,1,0,1,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.1546,444.7017,5.033333249,1.535,0,10,10,10,1,song_indices/HeatWaves_GlassAnimals.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.7026,450.9519,0,0,0,0,1,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.9524,457.8203,0,1,1,1,1,SoundStimuli/GodOnlyKnows_TheBeachBoys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.8205,459.5014,3.005555471,1.6699,0,11,11,8,1,song_indices/GodOnlyKnows_TheBeachBoys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.5022,465.468,0,0,0,0,1,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.4682,469.5378,0,1,1,1,1,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.5379,471.2713,1.966666751,1.7327,0,12,12,18,1,song_indices/BohemianRhapsody_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
