welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.Reggae,survey.question1.Disco,survey.question1.Country,survey.question1.Hip hop,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.Jazz,survey.question1.Ambient,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Classical,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.7757,339.8063,0,0,0,0,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.8192,345.3359,0,1,1,1,1,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.3361,352.0881,2.966666751,6.7403,0,9,9,11,1,song_indices/LeFreak_Chic.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.0889,358.7296,0,0,0,1,1,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.7368,365.0356,0,1,1,0,1,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0358,367.5942,3.95555581,2.5499,0,10,10,20,1,song_indices/LetsGetItOn_MarvinGaye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.596,373.6105,0,0,0,0,1,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.6215,379.3257,0,1,1,1,1,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.3265,381.127,2.75,1.7859,0,11,11,10,1,song_indices/Levitating_DuaLipa.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.129,387.6153,0,0,0,1,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
