welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Country,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Reggae,survey.question1.Classical,survey.question1.Jazz,survey.question1.Disco,survey.question1.Ambient,survey.question1.Pop,survey.question1.Latin,survey.question1.R&B,survey.question1.Folk/indie,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.8496,270.0478,0,1,1,1,1,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0479,272.3372,6.410783636,2.2789,0,9,9,7,1,song_indices/LikeAPrayer_Madonna.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.3383,279.7094,0,0,0,0,1,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.7276,286.2487,0,1,1,1,1,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.249,287.7199,6.410783636,1.4621,0,10,10,20,1,song_indices/OldTownRoad_LilNasX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.7208,294.0196,0,0,0,0,1,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0292,302.306,0,1,1,1,1,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.3062,305.7839,1.374487974,3.4581,0,11,11,5,1,song_indices/Mood_24kGoldnianndior.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.7852,311.8252,0,0,0,0,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.8338,319.9454,0,1,1,1,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
