welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.A cappella,survey.question1.Disco,survey.question1.Reggae,survey.question1.R&B,survey.question1.Ambient,survey.question1.Metal,survey.question1.Pop,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Hip hop,survey.question1.Alternative rock,survey.question1.Country,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.2385,189.7235,0,0,0,1,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.7288,195.8013,0,1,1,0,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.802,197.1411,1.005555556,1.3313,0,9,9,6,1,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.1417,203.9899,0,0,0,1,1,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.9952,211.0012,0,1,1,0,1,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0015,216.2344,6.988888889,5.2209,0,10,10,23,1,song_indices/PokerFace_LadyGaga.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.2364,223.0379,0,0,0,1,1,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0435,229.5383,0,1,1,0,1,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.5384,233.2522,5.916666667,3.7077,0,11,11,21,1,song_indices/BlindingLights_TheWeeknd.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.2541,239.3512,0,0,0,0,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
