exp_subject_id,song_id,similarity
592412,2012_4,2
592412,2014_2,4
592412,2011_3,6
592412,2009_3,5
592412,2015_3,7
592412,2018_5,4
592412,2017_5,1
592412,2013_1,2
592412,2017_3,2
592412,2017_2,2
592412,2019_1,3
592412,2016_5,3
592412,2013_3,3
592412,2010_1,2
592412,2011_1,2
592412,2018_3,4
592412,2012_2,2
592412,2010_3,2
592412,2014_5,3
592412,2009_2,1
592412,2018_1,2
592412,2014_1,1
592412,2011_2,1
592412,2015_4,1
592412,2016_3,3
592412,2015_5,2
592412,2011_4,2
592412,2014_4,4
592412,2015_2,2
592412,2016_4,2
592412,2016_1,3
592412,2012_3,1
592412,2017_1,3
592412,2013_2,3
592412,2008_3,1
592412,2013_6,5
592412,2015_1,2
592413,2015_3,6
592413,2009_3,5
592413,2016_2,4
592413,2014_2,3
592413,2018_5,2
592413,2018_4,2
592413,2012_5,3
592413,2013_5,4
592413,2019_2,1
592413,2017_3,5
592413,2016_5,2
592413,2012_4,3
592413,2013_1,3
592413,2010_2,5
592413,2019_4,3
592413,2017_5,1
592413,2017_2,5
592413,2019_3,2
592413,2011_3,7
592413,2014_3,1
592413,2012_1,5
592413,2008_2,3
592413,2017_4,1
592413,2019_1,7
592413,2018_2,6
592413,2010_1,3
592413,2015_2,5
592413,2011_4,1
592413,2017_1,4
592413,2011_1,4
592413,2013_6,5
592413,2018_1,5
592413,2014_1,3
592413,2014_5,2
592413,2013_3,7
592413,2016_4,3
592413,2016_1,2
592413,2015_4,3
592413,2016_3,2
592413,2018_3,5
592413,2015_1,5
592413,2009_2,1
592413,2015_5,3
592413,2010_3,1
592413,2012_3,1
592413,2012_2,4
592413,2013_2,6
592413,2008_3,2
592413,2011_2,5
592413,2014_4,4
592416,2018_4,6
592416,2015_3,7
592416,2014_3,6
592416,2009_3,5
592416,2018_5,5
592416,2017_4,4
592416,2011_3,7
592416,2019_3,2
592416,2019_1,6
592416,2010_2,5
592416,2019_2,2
592416,2017_2,5
592416,2008_2,4
592416,2016_2,6
592416,2014_2,4
592416,2017_5,1
592416,2016_5,3
592416,2013_1,2
592416,2019_4,1
592416,2012_1,6
592416,2012_5,2
592416,2018_2,6
592416,2012_4,3
592416,2013_5,1
592416,2017_3,5
592416,2015_5,5
592416,2013_6,6
