Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at,exp_id2,exp_id1,internal_id
63f69d2a672ef7c9757ec6f1,,APPROVED,2023-02-22T22:54:38Z,2023-02-23T00:08:40Z,2023-02-23T03:04:57Z,2023-02-23T00:08:41Z,4442,CQXVLPYN,2133,30,Female,White,United States,United States,United States,English,Yes,Full-Time,NA,606014,598242,42
63f6a75965b207bb55bf84ea,,APPROVED,2023-02-22T23:38:05Z,2023-02-23T01:15:49Z,2023-02-23T03:04:57Z,2023-02-23T01:15:49Z,5864,CQXVLPYN,776,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",NA,606026,598253,43
63f6aafbb19c39fca42ed501,,APPROVED,2023-02-22T23:56:32Z,2023-02-23T00:31:27Z,2023-02-23T03:04:58Z,2023-02-23T00:31:28Z,2096,CQXVLPYN,4802,35,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time,NA,606031,598339,44
63f6b1cad3465df1016dccbf,,APPROVED,2023-02-23T00:22:41Z,2023-02-23T01:39:27Z,2023-02-23T03:04:58Z,2023-02-23T01:39:27Z,4606,CQXVLPYN,330,33,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED,NA,606035,598232,45
63f6af273a1ead4448738a64,,APPROVED,2023-02-23T00:13:59Z,2023-02-23T02:13:24Z,2023-02-23T03:04:58Z,2023-02-23T02:13:25Z,7166,CQXVLPYN,690,32,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED,NA,606032,598269,46
63f6bd963dcc8431f9e2f7cf,,APPROVED,2023-02-23T01:13:15Z,2023-02-23T02:24:43Z,2023-02-23T03:04:58Z,2023-02-23T02:24:43Z,4289,CQXVLPYN,445,29,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time,NA,606043,598187,47
63f6ca23f81fd893c07ec6db,,APPROVED,2023-02-23T02:06:40Z,2023-02-23T03:15:49Z,2023-02-23T13:37:42Z,2023-02-23T03:15:50Z,4150,CQXVLPYN,83,22,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),NA,606053,598297,48
63f6cee34834e89b96653696,,APPROVED,2023-02-23T02:28:19Z,2023-02-23T03:17:45Z,2023-02-23T13:37:42Z,2023-02-23T03:17:45Z,2966,CQXVLPYN,495,20,Male,White,United States,United States,United States,English,Yes,Part-Time,NA,606059,598285,49
63f6d19098d079275e767211,,APPROVED,2023-02-23T02:38:21Z,2023-02-23T04:47:32Z,2023-02-23T13:37:42Z,2023-02-23T04:47:32Z,7752,CQXVLPYN,1241,28,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),NA,606061,598390,50
63f6da5938bb55817a507afb,,APPROVED,2023-02-23T03:15:52Z,2023-02-23T04:19:24Z,2023-02-23T13:37:42Z,2023-02-23T04:19:25Z,3813,CQXVLPYN,783,22,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),NA,606067,598294,51
63f6c3caef1b8febf67ec6d2,,APPROVED,2023-02-23T01:39:29Z,2023-02-23T03:18:30Z,2023-02-23T13:37:42Z,2023-02-23T03:18:30Z,5942,CQXVLPYN,2249,35,Male,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED,NA,606049,598293,52
63f6db2c5dc15a48327ec6d7,,APPROVED,2023-02-23T03:19:11Z,2023-02-23T04:22:32Z,2023-02-23T13:37:43Z,2023-02-23T04:22:32Z,3801,CQXVLPYN,1704,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,606072,598238,53
63f706e7b946379012b3bd25,,APPROVED,2023-02-23T06:25:47Z,2023-02-23T08:02:13Z,2023-02-23T13:37:43Z,2023-02-23T08:02:13Z,5786,CQXVLPYN,3369,33,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,606102,598307,54
63f72645023aee28cc7ec6f3,,APPROVED,2023-02-23T08:39:38Z,2023-02-23T09:47:51Z,2023-02-23T13:37:43Z,2023-02-23T09:47:52Z,4093,CQXVLPYN,934,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,606176,598194,55
63f769dbb898be107aab972d,,APPROVED,2023-02-23T13:28:01Z,2023-02-23T15:46:34Z,2023-02-23T18:56:10Z,2023-02-23T15:46:35Z,8313,CQXVLPYN,1967,32,Female,Black,United States,United States,United States,English,Yes,Full-Time,NA,606308,598205,56
63f7860b721ba65bbabffae9,,APPROVED,2023-02-23T15:28:15Z,2023-02-23T16:11:50Z,2023-02-23T18:56:10Z,2023-02-23T16:11:51Z,2616,CQXVLPYN,67,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,NA,606397,598193,57
63f792b30f16de4b53e4791d,,APPROVED,2023-02-23T16:22:11Z,2023-02-23T16:58:48Z,2023-02-23T18:56:11Z,2023-02-23T16:59:03Z,2198,CQXVLPYN,156,32,Male,Other,United States,United States,United States,English,No,Full-Time,NA,606450,598114,58
63f7afea3d8e8ecd68815cca,,APPROVED,2023-02-23T18:27:00Z,2023-02-23T19:31:24Z,2023-02-23T22:08:17Z,2023-02-23T19:31:28Z,3865,CQXVLPYN,768,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,606538,597971,59
63f822f80bf3b480342e922e,,APPROVED,2023-02-24T02:37:48Z,2023-02-24T03:53:55Z,2023-02-24T15:01:09Z,2023-02-24T03:53:56Z,4568,CQXVLPYN,619,24,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking),NA,606725,598224,60
63f81cf83ccf6ba4a10d0906,,APPROVED,2023-02-24T02:12:16Z,2023-02-24T03:09:18Z,2023-02-24T15:01:09Z,2023-02-24T03:09:18Z,3422,CQXVLPYN,599,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),NA,606721,597956,61
