internal_id,song_id,age_at_event_orig,age_at_event_cover,association_orig,association_cover,control_orig,control_cover,memory_orig,memory_cover,description_orig,description_cover,emot_content_orig,emot_content_cover,emot_intensity_orig,emot_intensity_cover,energetic_orig,energetic_cover,experience_orig,experience_cover,familiarity_orig,familiarity_cover,important_orig,important_cover,preference_orig,preference_cover,social_orig,social_cover,unique_orig,unique_cover,vivid_orig,vivid_cover
84,2016_3,20,NA,my best friend,na,neither,NA,TRUE,FALSE,I was dancing with friends in the car,NA,neutral,NA,not at all,NA,a little,NA,Don't listen to this song unless it is on the radio,na,a little,not at all,not at all,NA,a little,not at all,a little,NA,a little,NA,somewhat,NA
84,2017_3,33,NA,33,na,neither,NA,TRUE,FALSE,Watching Bruno Mars sing at the super bowl,NA,somewhat positive,NA,not at all,NA,a little,NA,"Any time I hear Bruno Mars, I just always think about the great job he did singing at the super bowl",the artist is different but I have heard of the song,somewhat,somewhat,not at all,NA,somewhat,somewhat,not at all,NA,very,NA,somewhat,NA
84,2018_2,35,33,in my 30s,boyfriend,neither,somewhat deliberate,TRUE,TRUE,reminds me of an old boyfriend,33,neutral,somewhat positive,a little,a little,not at all,not at all,He liked the artist so we listened to him often,listened to this song with one of my old boyfriends,very,very,somewhat,a little,a lot,somewhat,a little,a little,somewhat,a little,somewhat,a little
84,2018_3,37,37,37,37,completely deliberate,somewhat deliberate,TRUE,TRUE,just cleaned to this song the other day,I like to sing this to myself when I am alone,somewhat positive,somewhat positive,somewhat,a little,somewhat,very,watch it on youtube while cleaning the house,I enjoy this song,very,very,not at all,somewhat,love it!,a lot,not at all,not at all,not at all,a little,very,somewhat
84,2019_1,35,NA,36,late 30s,neither,NA,TRUE,FALSE,heard it on tictok,NA,neutral,NA,not at all,NA,not at all,NA,heard it on tictok,makes me think of Tic Toc,somewhat,somewhat,not at all,NA,somewhat,a little,not at all,NA,not at all,NA,somewhat,NA
85,2010_2,17,15,15-18,listened to it a lot in high school,somewhat spontaneous,somewhat spontaneous,TRUE,TRUE,i remember hearing this song at the lady a concert with my dad,going to the lady A concert with my dad and hearing this song,neutral,somewhat positive,a little,a little,very,very,used to listen to it every day my sophmore year of high school,listened to it a lot on spotify when it first came out,extremely,extremely,a little,a little,love it!,a lot,very,very,not at all,not at all,very,very
85,2016_5,19,NA,18,none,somewhat spontaneous,NA,TRUE,FALSE,Private,NA,neutral,NA,a little,NA,somewhat,NA,i recognized the artist but couldn't remember the song name,not sure I feel like I've heard the song somewhere before just not sure when or where,a little,a little,a little,NA,somewhat,a little,somewhat,NA,a little,NA,very,NA
86,2008_2,21,NA,college,never heard this before now.,completely spontaneous,NA,TRUE,FALSE,I remember hearing this in the past. I don't have an exact answer when.,NA,neutral,NA,not at all,NA,a little,NA,I've heard it before but I can't exactly place it. But it reminds me of a specific time.,never heard this before now,a little,not at all,not at all,NA,a little,not at all,a little,NA,a little,NA,not at all,NA
86,2009_2,11,11,Middle school 11-13,middle school,completely spontaneous,completely deliberate,TRUE,TRUE,Hilariously this also was the other song the kid sang at the talent show. Middle school.,Someone butchering this song at a talent show I thin kwhen i was in middle school. Was just absolutely awful,neutral,somewhat negative,not at all,not at all,not at all,not at all,"Someone sang it, at the talent show. Very badly. Hurt me ears.","Hearing it on the radio, lady gaga was big like ten years ago or more",extremely,extremely,not at all,not at all,not at all,not at all,somewhat,very,not at all,not at all,somewhat,very
86,2009_3,12,NA,Middle school i heard this song.,Just an old son gi know.,completely deliberate,NA,TRUE,FALSE,Middle school I remember this coming out.,NA,neutral,NA,not at all,NA,not at all,NA,Just heard it in Middle school alot,Nothing in particular besides just bein old,somewhat,extremely,not at all,NA,not at all,not at all,not at all,NA,not at all,NA,a little,NA
86,2010_3,14,15,just I hear it all the time. Always played everywhere.,Just rememvber it coming out.,completely spontaneous,neither,TRUE,TRUE,My mom would play this song all the time when I was in my teens. Train,Just remember this train song being cool,somewhat positive,very positive,somewhat,not at all,not at all,not at all,Just heard it played everywhere. Nothing crazy. My mom really likes this song.,Nothing besides listening to it.,extremely,extremely,not at all,not at all,somewhat,somewhat,not at all,not at all,not at all,not at all,somewhat,somewhat
