participant,song_id,x,y,rt
798641,Stronger_KanyeWest_Cover5S,-0.160185157,-0.144444444,0.164
798641,LivinOnAPrayer_BonJovi_Original5S,0.197222222,0.248148134,0.7358
798641,GoodGollyMissMolly_LittleRichard_Original5S,0.197222222,0.248148134,0.5004
798641,NoOne_AliciaKeys_Original5S,0.191666667,-0.153703732,0.4499
798641,LetsGetItOn_MarvinGaye_Original5S,0.212037065,-0.168518533,0.4998
798641,TheBattleOfNewOrleans_JohnnyHorton_Original5S,0.212037065,-0.168518533,0.4998
798641,StayinAlive_BeeGees_Cover5S,0.200925954,0.084259245,0.4668
798641,HeatWaves_GlassAnimals_Cover5S,0.200925954,0.084259245,0.4826
798641,GodOnlyKnows_TheBeachBoys_Original5S,-0.247222222,-0.192592621,0.4008
798641,Superstition_StevieWonder_Original5S,-0.205555556,0.12870369,0.4338
798641,ShapeofYou_EdSheeran_Cover5S,0.164814843,0.179629623,0.4655
798641,LikeAPrayer_Madonna_Cover5S,0.164814843,0.179629623,0.5155
798641,AnotherOneBitesTheDust_Queen_Cover5S,-0.161111111,-0.116666667,0.2679
798641,Respect_ArethaFranklin_Cover5S,-0.180555556,0.208333333,0.5513
798641,PokerFace_LadyGaga_Cover5S,0.170370399,0.167592578,0.4975
798641,ComeAndGetYourLove_Redbone_Cover5S,-0.239814801,0.169444444,1.9359
798641,RockWithYou_MichaelJackson_Cover5S,0.211111111,-0.10648151,0.602
798641,NoScrubs_TLC_Cover5S,-0.190740712,-0.135185199,0.4636
185931,TheSign_AceOfBase_Original5S,0.166666667,0.147135417,1.728
185931,PartyRockAnthem_LMFAO_Cover5S,0.162760417,0.145833333,0.845
185931,CrazyInLove_BeyonceFtJayZ_Original5S,-0.139322917,0.067708333,4.075
185931,IWannaDanceWithSomebody_WhitneyHouston_Cover5S,-0.102864583,-0.201822917,0.806
185931,TheBoyIsMine_BrandyMonica_Cover5S,-0.109375,0.11328125,1.389
185931,MackTheKnife_BobbyDarin_Original5S,0.123697917,-0.192708333,0.637
185931,EndlessLove_DianaRossLionelRichie_Original5S,0.123697917,-0.192708333,1.66
185931,ItsAllInTheGame_TommyEdwards_Original5S,-0.233072917,-0.0859375,0.475
185931,IllMakeLoveToYou_BoyzIIMen_Original5S,0.196614583,-0.21484375,2.011
185931,YouLightUpMyLife_DebbyBoone_Cover5S,0.09765625,-0.17578125,1.707
185931,HowDoILive_LeAnnRimes_Original5S,-0.311197917,-0.225260417,2.17
185931,IWalkTheLine_JohnnyCash_Cover5S,-0.20703125,-0.16015625,1.345
185931,Smooth_SantanaRobThomas_Cover5S,-0.19140625,0.119791667,0.057
185931,Happy_PharellWilliams_Cover5S,0.09375,0.092447917,1.548
185931,Dilemma_NellyKellyRowland_Original5S,0.205729167,-0.143229167,0.868
185931,BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S,-0.07421875,-0.18359375,2.822
