Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63f69d2a672ef7c9757ec6f1,,APPROVED,2023-02-22T22:54:38.895000Z,2023-02-23T00:08:40.325000Z,2023-02-23T03:04:57.823000Z,2023-02-23T00:08:41.890971Z,4442,CQXVLPYN,2133,30,Female,White,United States,United States,United States,English,Yes,Full-Time,
63f6a75965b207bb55bf84ea,,APPROVED,2023-02-22T23:38:05.641000Z,2023-02-23T01:15:49.114000Z,2023-02-23T03:04:57.921000Z,2023-02-23T01:15:49.444881Z,5864,CQXVLPYN,776,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63f6aafbb19c39fca42ed501,,APPROVED,2023-02-22T23:56:32.510000Z,2023-02-23T00:31:27.871000Z,2023-02-23T03:04:58.022000Z,2023-02-23T00:31:28.231929Z,2096,CQXVLPYN,4802,35,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
63f6af273a1ead4448738a64,,APPROVED,2023-02-23T00:13:59.412000Z,2023-02-23T02:13:24.901000Z,2023-02-23T03:04:58.130000Z,2023-02-23T02:13:25.437615Z,7166,CQXVLPYN,690,32,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED,
63f6b1cad3465df1016dccbf,,APPROVED,2023-02-23T00:22:41.413000Z,2023-02-23T01:39:27.232000Z,2023-02-23T03:04:58.235000Z,2023-02-23T01:39:27.648072Z,4606,CQXVLPYN,330,33,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED,
63f6bd963dcc8431f9e2f7cf,,APPROVED,2023-02-23T01:13:15.016000Z,2023-02-23T02:24:43.132000Z,2023-02-23T03:04:58.340000Z,2023-02-23T02:24:43.548396Z,4289,CQXVLPYN,445,29,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
63f6c3caef1b8febf67ec6d2,,APPROVED,2023-02-23T01:39:29.274000Z,2023-02-23T03:18:30.500000Z,2023-02-23T13:37:42.559000Z,2023-02-23T03:18:30.844207Z,5942,CQXVLPYN,2249,35,Male,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED,
63f6ca23f81fd893c07ec6db,,APPROVED,2023-02-23T02:06:40.150000Z,2023-02-23T03:15:49.937000Z,2023-02-23T13:37:42.672000Z,2023-02-23T03:15:50.318661Z,4150,CQXVLPYN,83,22,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),
63f6cee34834e89b96653696,,APPROVED,2023-02-23T02:28:19.049000Z,2023-02-23T03:17:45.019000Z,2023-02-23T13:37:42.778000Z,2023-02-23T03:17:45.354589Z,2966,CQXVLPYN,495,20,Male,White,United States,United States,United States,English,Yes,Part-Time,
63f6d19098d079275e767211,,APPROVED,2023-02-23T02:38:21.096000Z,2023-02-23T04:47:32.676000Z,2023-02-23T13:37:42.877000Z,2023-02-23T04:47:32.991595Z,7752,CQXVLPYN,1241,28,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
63f6da5938bb55817a507afb,,APPROVED,2023-02-23T03:15:52.769000Z,2023-02-23T04:19:24.993000Z,2023-02-23T13:37:42.984000Z,2023-02-23T04:19:25.336453Z,3813,CQXVLPYN,783,22,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
63f6db2c5dc15a48327ec6d7,,APPROVED,2023-02-23T03:19:11.570000Z,2023-02-23T04:22:32.081000Z,2023-02-23T13:37:43.090000Z,2023-02-23T04:22:32.442410Z,3801,CQXVLPYN,1704,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f706e7b946379012b3bd25,,APPROVED,2023-02-23T06:25:47.539000Z,2023-02-23T08:02:13.537000Z,2023-02-23T13:37:43.192000Z,2023-02-23T08:02:13.935404Z,5786,CQXVLPYN,3369,33,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f72645023aee28cc7ec6f3,,APPROVED,2023-02-23T08:39:38.776000Z,2023-02-23T09:47:51.119000Z,2023-02-23T13:37:43.301000Z,2023-02-23T09:47:52.601537Z,4093,CQXVLPYN,934,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f769dbb898be107aab972d,,APPROVED,2023-02-23T13:28:01.992000Z,2023-02-23T15:46:34.607000Z,2023-02-23T18:56:10.839000Z,2023-02-23T15:46:35.462680Z,8313,CQXVLPYN,1967,32,Female,Black,United States,United States,United States,English,Yes,Full-Time,
63f7860b721ba65bbabffae9,,APPROVED,2023-02-23T15:28:15.053000Z,2023-02-23T16:11:50.743000Z,2023-02-23T18:56:10.957000Z,2023-02-23T16:11:51.107059Z,2616,CQXVLPYN,67,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
63f792b30f16de4b53e4791d,,APPROVED,2023-02-23T16:22:11.093000Z,2023-02-23T16:58:48.987000Z,2023-02-23T18:56:11.092000Z,2023-02-23T16:59:03.678825Z,2198,CQXVLPYN,156,32,Male,Other,United States,United States,United States,English,No,Full-Time,
63f7afea3d8e8ecd68815cca,,APPROVED,2023-02-23T18:27:00.017000Z,2023-02-23T19:31:24.342000Z,2023-02-23T22:08:17.688000Z,2023-02-23T19:31:28.328258Z,3865,CQXVLPYN,768,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f81cf83ccf6ba4a10d0906,,APPROVED,2023-02-24T02:12:16.651000Z,2023-02-24T03:09:18.257000Z,2023-02-24T15:01:09.044000Z,2023-02-24T03:09:18.567936Z,3422,CQXVLPYN,599,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63f822f80bf3b480342e922e,,APPROVED,2023-02-24T02:37:48.209000Z,2023-02-24T03:53:55.546000Z,2023-02-24T15:01:09.169000Z,2023-02-24T03:53:56.114500Z,4568,CQXVLPYN,619,24,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking),
63f86a8eea24595a309ac68c,,APPROVED,2023-02-24T07:43:15.455000Z,2023-02-24T09:06:45.574000Z,2023-02-24T15:01:09.284000Z,2023-02-24T09:06:45.958745Z,5011,CQXVLPYN,359,25,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking),
63f91c57c84cc04ec14cb227,,APPROVED,2023-02-24T20:21:46.485000Z,2023-02-24T21:02:56.768000Z,2023-02-26T21:28:34.883000Z,2023-02-24T21:02:57.173698Z,2471,CQXVLPYN,1878,30,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63f920765c96e923296c2980,,APPROVED,2023-02-24T20:39:28.937000Z,2023-02-24T21:25:18.415000Z,2023-02-26T21:28:35.006000Z,2023-02-24T21:25:18.824401Z,2750,CQXVLPYN,1720,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f935f5fa8fd612032a36cb,,APPROVED,2023-02-24T22:11:04.555000Z,2023-02-24T23:03:59.493000Z,2023-02-26T21:28:35.115000Z,2023-02-24T23:04:01.645111Z,3175,CQXVLPYN,461,33,Female,White,United States,United States,United States,English,No,Full-Time,
63f9d65605fe3a17ea612aeb,,APPROVED,2023-02-25T09:35:18.399000Z,2023-02-25T10:35:35.119000Z,2023-02-26T21:28:35.228000Z,2023-02-25T10:35:35.462150Z,3617,CQXVLPYN,885,30,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63fa4e03fde9aad04eda217c,,APPROVED,2023-02-25T18:06:01.608000Z,2023-02-25T19:16:52.392000Z,2023-02-26T21:28:35.340000Z,2023-02-25T19:16:52.788922Z,4251,CQXVLPYN,80,37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
63fa5a1f8100bd2e75757a4e,,APPROVED,2023-02-25T18:57:39.311000Z,2023-02-25T20:04:16.381000Z,2023-02-26T21:28:35.463000Z,2023-02-25T20:04:16.778405Z,3998,CQXVLPYN,297,29,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED,
63fbac862cf9c60aaaa9c523,,APPROVED,2023-02-26T19:01:34.072000Z,2023-02-26T20:01:49.353000Z,2023-02-26T21:28:35.570000Z,2023-02-26T20:01:49.754735Z,3616,CBB20LCV,3929,29,Female,White,United States,United States,United States,English,Yes,Full-Time,
63fcfedad634cdbfb426af86,,APPROVED,2023-02-27T19:05:00.662000Z,2023-02-27T20:14:00.540000Z,2023-02-28T16:46:10.322000Z,2023-02-27T20:14:00.952893Z,4140,CQXVLPYN,113,23,Male,White,United States,United States,United States,English,No,Full-Time,
63fd35777799723fefb36bce,,APPROVED,2023-02-27T22:58:04.534000Z,2023-02-28T00:03:44.027000Z,2023-02-28T16:46:10.424000Z,2023-02-28T00:04:17.188219Z,3940,CQXVLPYN,272,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
63fd8f3c34c40dae1b3977f2,,APPROVED,2023-02-28T05:21:04.282000Z,2023-02-28T06:11:15.291000Z,2023-02-28T16:46:10.517000Z,2023-02-28T06:11:15.677696Z,3012,CQXVLPYN,1086,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
63fe293c2b17862c1ca68894,,APPROVED,2023-02-28T16:25:23.386000Z,2023-02-28T18:10:46.963000Z,2023-02-28T18:55:50.375000Z,2023-02-28T18:10:47.316299Z,6324,CQXVLPYN,1469,28,Male,White,United States,United States,United States,English,No,Full-Time,
63fe391afc124502a73be632,,APPROVED,2023-02-28T17:25:51.836000Z,2023-02-28T18:06:02.149000Z,2023-02-28T18:55:50.483000Z,2023-02-28T18:06:02.567109Z,2411,CQXVLPYN,56,20,Male,White,United States,United States,United States,English,Yes,Part-Time,
63fe55a32dc12dab6c2085dc,,APPROVED,2023-02-28T19:27:35.117000Z,2023-02-28T20:30:11.194000Z,2023-02-28T21:53:50.945000Z,2023-02-28T20:30:11.580152Z,3757,CQXVLPYN,236,31,Female,White,United States,United States,United States,English,No,Full-Time,
63feafb9437d82ec83cb7b54,,APPROVED,2023-03-01T01:51:59.154000Z,2023-03-01T03:47:03.698000Z,2023-03-01T14:52:26.592000Z,2023-03-01T03:47:04.039915Z,6905,CQXVLPYN,771,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63feb90e707cd35428f0734e,,APPROVED,2023-03-01T02:31:46.815000Z,2023-03-01T03:30:32.379000Z,2023-03-01T14:52:26.727000Z,2023-03-01T03:30:32.774476Z,3526,CQXVLPYN,117,25,Female,White,United States,United States,United States,English,No,Full-Time,
